AC No., AC ,PC,District,Percentage of total population,,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Christian Range,SC%,ST%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
1,Mandrem,North Goa,North Goa,80-85,0-5,10-15,3.21,0.08,30-35,65-70,85-90,90-95,80-85,BJP,46.11,INC,32.86,AITC,17.71,BJP,66.74,INC,26.46,AAP,1.98
2,Pernem (SC),North Goa,North Goa,90-95,0-5,5-10,4.89,0.04,85-90,10-15,85-90,90-95,80-85,BJP,63.37,INC,31.10,IND,3.18,BJP,71.19,INC,22.33,CPI,1.69
3,Bicholim,North Goa,North Goa,90-95,5-10,0-5,3.36,0.27,45-50,45-50,85-90,90-95,80-85,IND,39.68,INC,31.11,BJP,25.77,BJP,63.24,INC,30.59,AAP,1.85
4,Tivim,North Goa,North Goa,75-80,0-5,15-20,2.02,0.15,80-85,15-20,90-95,90-95,85-90,BJP,51.56,NCP,46.08,GVP,1.00,BJP,61.95,INC,29.69,AAP,3.41
5,Mapusa,North Goa,North Goa,70-75,10-15,15-20,4.01,0.35,0-5,95-100,90-95,90-95,85-90,BJP,74.00,NCP,23.68,IND,1.39,BJP,64.55,INC,24.95,AAP,5.36
6,Siolim,North Goa,North Goa,65-70,0-5,25-30,1.92,0.29,40-45,55-60,85-90,90-95,85-90,BJP,52.83,INC,42.80,SJP(R),1.63,BJP,56.67,INC,32.08,AAP,5.25
7,Saligao,North Goa,North Goa,65-70,0-5,25-30,1.46,0.72,15-20,80-85,90-95,90-95,85-90,BJP,51.96,IND,22.03,NCP,8.91,BJP,58.06,INC,31.59,AAP,6.08
8,Calangute,North Goa,North Goa,45-50,5-10,40-45,1.49,0.50,25-30,70-75,85-90,90-95,85-90,BJP,53.91,INC,43.72,IND,1.31,INC,45.89,BJP,45.25,AAP,5.04
9,Porvorim,North Goa,North Goa,70-75,5-10,20-25,2.95,0.92,0-5,95-100,90-95,90-95,90-95,IND,47.93,BJP,42.52,NCP,7.32,BJP,61.23,INC,25.86,AAP,6.81
10,Aldona,North Goa,North Goa,60-65,0-5,35-40,3.61,2.09,55-60,40-45,90-95,90-95,85-90,BJP,55.77,INC,38.64,AITC,3.17,BJP,51.05,INC,34.00,AAP,5.66
11,Panaji,North Goa,North Goa,60-65,5-10,25-30,1.32,1.80,0-5,95-100,90-95,95-100,90-95,BJP,66.13,INC,29.93,CPI,2.28,BJP,60.90,INC,28.19,AAP,7.51
12,Taleigao,North Goa,North Goa,60-65,5-10,25-30,3.52,11.01,0-5,95-100,90-95,90-95,85-90,INC,50.88,BJP,45.39,GSRP,1.59,BJP,46.48,INC,42.17,AAP,6.95
13,St. Cruz,North Goa,North Goa,50-55,15-20,25-30,2.18,10.04,0-5,95-100,85-90,90-95,80-85,INC,40.43,IND,29.50,MAG,27.24,BJP,46.02,INC,44.26,AAP,5.81
14,St. Andre,North Goa,North Goa,50-55,0-5,40-45,0.85,13.97,45-50,50-55,85-90,90-95,80-85,BJP,51.24,INC,44.16,IND,2.56,BJP,50.31,INC,41.38,AAP,3.92
15,Cumbarjua,North Goa,North Goa,65-70,0-5,25-30,0.83,16.18,50-55,45-50,85-90,90-95,85-90,INC,48.22,IND,40.27,IND,10.07,BJP,50.03,INC,40.68,AAP,4.78
16,Maem,North Goa,North Goa,90-95,0-5,0-5,2.10,5.93,80-85,15-20,85-90,90-95,80-85,BJP,53.79,IND,28.27,NCP,16.00,BJP,69.40,INC,23.55,CPI,1.89
17,Sanquelim,North Goa,North Goa,90-95,0-5,0-5,1.40,7.96,40-45,50-55,85-90,90-95,85-90,BJP,66.02,INC,33.98,,,BJP,67.21,INC,26.03,CPI,1.96
18,Poriem,North Goa,North Goa,95-100,0-5,0-5,2.01,7.91,80-85,10-15,80-85,90-95,75-80,INC,55.09,BJP,44.91,,,BJP,48.96,INC,44.20,CPI,1.87
19,Valpoi,North Goa,North Goa,80-85,10-15,0-5,1.44,8.11,40-45,55-60,85-90,90-95,80-85,INC,53.66,BJP,40.96,IND,3.48,BJP,48.28,INC,45.18,AAP,1.74
20,Priol,North Goa,North Goa,90-95,0-5,0-5,0.76,26.44,50-55,45-50,85-90,90-95,80-85,MAG,49.72,IND,41.20,INC,6.59,BJP,73.45,INC,17.70,AAP,3.38
21,Ponda,South Goa,South Goa,70-75,15-20,5-10,1.28,5.64,5-10,90-95,90-95,90-95,85-90,MAG,54.51,INC,40.77,AITC,2.16,BJP,54.27,INC,36.55,AAP,3.15
22,Siroda,South Goa,South Goa,75-80,0-5,20-25,1.41,19.45,75-80,20-25,85-90,90-95,80-85,BJP,53.15,INC,43.31,IND,1.84,BJP,51.18,INC,37.39,IND,5.39
23,Marcaim,South Goa,South Goa,90-95,0-5,0-5,1.27,16.59,25-30,70-75,85-90,90-95,80-85,MAG,65.94,INC,34.06,,,BJP,66.96,INC,13.88,IND,12.71
24,Mormugao,South Goa,South Goa,75-80,10-15,10-15,1.93,0.42,0-5,95-100,85-90,90-95,80-85,BJP,45.69,INC,40.07,IND,10.53,BJP,58.69,INC,35.10,AAP,2.05
25,Vasco-da-gama,South Goa,South Goa,65-70,15-20,15-20,1.77,0.54,0-5,95-100,85-90,90-95,80-85,BJP,52.72,NCP,32.08,IND,6.41,BJP,51.10,INC,39.84,AAP,3.75
26,Dabolim,South Goa,South Goa,70-75,10-15,15-20,2.65,2.67,20-25,75-80,90-95,95-100,85-90,INC,48.89,MAG,42.71,AITC,5.56,BJP,56.27,INC,34.60,AAP,4.31
27,Cortalim,South Goa,South Goa,45-50,5-10,45-50,0.49,12.35,25-30,65-70,85-90,90-95,80-85,BJP,36.37,GVP,25.26,UGDP,18.20,BJP,46.96,INC,43.90,AAP,3.39
28,Nuvem,South Goa,South Goa,10-15,0-5,80-85,0.46,25.26,55-60,40-45,85-90,90-95,80-85,GVP,56.90,INC,37.47,IND,2.23,INC,63.96,BJP,26.34,AAP,4.08
29,Curtorim,South Goa,South Goa,30-35,5-10,60-65,0.51,19.81,10-15,85-90,85-90,90-95,80-85,INC,57.11,IND,36.40,IND,3.07,INC,62.42,BJP,26.77,AAP,3.29
30,Fatorda,South Goa,South Goa,45-50,10-15,35-40,1.06,5.06,0-5,95-100,90-95,90-95,85-90,IND,48.39,BJP,39.35,IND,5.25,BJP,47.07,INC,44.95,AAP,3.42
31,Margao,South Goa,South Goa,60-65,15-20,20-25,2.85,4.05,0-5,95-100,90-95,90-95,85-90,INC,54.36,BJP,34.26,AITC,8.46,BJP,48.69,INC,43.30,AAP,3.17
32,Benaulim,South Goa,South Goa,15-20,0-5,75-80,0.91,0.43,50-55,45-50,85-90,90-95,85-90,GVP,45.95,INC,36.47,IND,8.41,INC,49.46,BJP,23.10,AITC,18.15
33,Navelim,South Goa,South Goa,40-45,20-25,35-40,1.87,8.52,5-10,90-95,90-95,90-95,85-90,IND,54.48,INC,43.06,IND,1.39,INC,46.09,BJP,34.39,AITC,13.15
34,Cuncolim,South Goa,South Goa,35-40,5-10,50-55,0.77,15.63,50-55,45-50,85-90,90-95,80-85,BJP,37.31,INC,30.98,IND,23.29,INC,46.81,BJP,42.97,AITC,3.35
35,Velim,South Goa,South Goa,20-25,0-5,70-75,0.84,17.63,55-60,40-45,85-90,90-95,80-85,IND,59.49,INC,37.23,IND,1.74,INC,62.57,BJP,23.75,AITC,4.72
36,Quepem,South Goa,South Goa,60-65,0-5,30-35,0.92,46.60,60-65,35-40,75-80,80-85,75-80,INC,44.22,IND,18.59,MAG,18.25,BJP,48.52,INC,41.24,IND,3.70
37,Curchorem,South Goa,South Goa,60-65,5-10,25-30,1.40,8.49,10-15,85-90,85-90,90-95,80-85,BJP,72.20,INC,27.80,,,BJP,62.19,INC,32.31,AAP,1.52
38,Sanvordem,South Goa,South Goa,75-80,0-5,5-10,1.28,15.75,85-90,10-15,80-85,85-90,75-80,BJP,45.34,IND,35.53,IND,12.11,BJP,72.72,INC,19.70,CPI,1.59
39,Sanguem,South Goa,South Goa,70-75,0-5,20-25,0.81,34.44,80-85,15-20,80-85,85-90,75-80,BJP,34.67,NCP,32.42,IND,26.68,BJP,64.17,INC,26.29,IND,1.94
40,Canacona,South Goa,South Goa,75-80,0-5,15-20,0.42,26.84,65-70,30-35,85-90,90-95,80-85,BJP,53.89,INC,43.72,AITC,2.40,BJP,57.91,INC,34.42,IND,1.67