AC No., AC ,PC,District,Percentage of total population,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
99,Sirsaganj,Firozabad,Firozabad,90-95,0-5,18.70,90-95,5-10,75-80,80-85,60-65,SP,46.01,BSP,24.48,IND,17.15,SP,63.01,BJP,28.43,BSP,6.13
100,Kasganj,Etah,Kanshiram Nagar,85-90,10-15,17.77,70-75,25-30,60-65,70-75,50-55,SP,25.41,BSP,20.08,JaKP,18.35,BJP,50.68,SP,29.98,BSP,14.89
101,Amanpur,Etah,Kanshiram Nagar,80-85,10-15,19.12,90-95,5-10,60-65,70-75,45-50,BSP,23.82,SP,21.53,JaKP,19.10,BJP,53.44,SP,24.17,BSP,17.21
102,Patiyali,Etah,Kanshiram Nagar,75-80,20-25,16.37,75-80,20-25,55-60,65-70,45-50,SP,35.44,BSP,19.69,MD,15.98,BJP,40.98,SP,40.68,BSP,14.05
103,Aliganj,Farrukhabad,Etah,85-90,5-10,14.26,85-90,10-15,70-75,80-85,55-60,SP,45.63,BSP,32.60,JaKP,12.28,SP,57.73,BJP,27.50,BSP,6.15
104,Etah,Etah,Etah,85-90,5-10,13.57,65-70,30-35,70-75,80-85,60-65,SP,24.02,BSP,22.04,BJP,20.09,BJP,53.64,SP,26.41,BSP,15.83
105,Marhara,Etah,Etah,90-95,5-10,16.28,90-95,0-5,65-70,80-85,55-60,SP,36.16,JaKP,23.14,BSP,17.74,BJP,58.36,SP,25.95,BSP,12.06
106,Jalesar (SC),Agra (SC),Etah,85-90,10-15,19.65,85-90,10-15,65-70,75-80,55-60,SP,36.97,BSP,21.91,INC,13.91,BJP,48.17,SP,31.28,BSP,16.55
107,Mainpuri,Mainpuri,Mainpuri,90-95,5-10,18.92,60-65,35-40,75-80,85-90,65-70,SP,32.94,BSP,24.43,INC,14.55,SP,51.12,BJP,26.28,BSP,19.17
108,Bhongaon,Mainpuri,Mainpuri,90-95,0-5,19.06,85-90,10-15,75-80,85-90,65-70,SP,40.78,BSP,22.99,INC,15.12,BJP,40.01,SP,39.41,BSP,16.70
109,Kishani (SC),Mainpuri,Mainpuri,95-100,0-5,21.50,90-95,5-10,75-80,80-85,65-70,SP,50.25,BSP,27.41,BJP,13.86,SP,55.76,BJP,23.90,BSP,17.27
110,Karhal,Mainpuri,Mainpuri,90-95,5-10,19.53,90-95,5-10,70-75,80-85,60-65,SP,46.90,BSP,31.22,BJP,6.65,SP,66.55,BJP,18.57,BSP,12.20
111,Gunnaur,Badaun,Budaun,85-90,10-15,12.45,90-95,5-10,45-50,55-60,30-35,SP,53.19,INC,30.08,BSP,9.57,SP,59.53,BJP,27.44,BSP,9.36
112,Bisauli (SC),Badaun,Budaun,75-80,15-20,21.01,85-90,10-15,50-55,60-65,40-45,SP,44.33,BSP,23.02,BJP,20.25,SP,45.76,BJP,35.12,BSP,15.07
113,Sahaswan,Badaun,Budaun,70-75,25-30,15.94,80-85,15-20,40-45,50-55,30-35,SP,33.01,BSP,29.83,RPD,25.45,SP,52.31,BJP,23.26,BSP,20.62
114,Bilsi,Badaun,Budaun,80-85,15-20,20.44,75-80,20-25,50-55,60-65,40-45,BSP,32.43,SP,27.74,MD,13.15,SP,39.59,BJP,36.39,BSP,19.64
115,Badaun,Badaun,Budaun,65-70,30-35,16.04,60-65,35-40,55-60,65-70,45-50,SP,32.44,BJP,24.47,BSP,23.06,SP,44.24,BJP,40.39,BSP,11.66
116,Shekhupur,Aonla,Budaun,70-75,25-30,17.40,85-90,5-10,50-55,60-65,40-45,SP,32.76,INC,28.82,BSP,24.85,BJP,32.93,SP,28.80,BSP,23.34
117,Dataganj,Aonla,Budaun,80-85,10-15,15.65,80-85,10-15,50-55,60-65,40-45,BSP,29.64,SP,27.16,INC,24.92,BJP,40.53,BSP,23.87,SP,22.89
118,Baheri,Pilibhit,Bareilly,50-55,40-45,14.47,80-85,15-20,55-60,65-70,45-50,SP,23.98,BJP,23.97,BSP,19.02,BJP,44.87,SP,29.29,BSP,21.11
119,Meerganj,Bareilly,Bareilly,65-70,30-35,12.46,80-85,15-20,50-55,60-65,35-40,BSP,31.23,BJP,26.93,SP,19.19,BJP,50.96,SP,25.91,BSP,14.91
120,Bhojipura,Bareilly,Bareilly,50-55,40-45,11.10,80-85,15-20,50-55,65-70,40-45,IEMC,32.55,SP,23.63,BJP,17.03,BJP,45.27,SP,33.36,BSP,12.98
121,Nawabganj,Bareilly,Bareilly,65-70,30-35,14.06,85-90,10-15,60-65,70-75,45-50,SP,35.58,BSP,26.17,PECP,20.39,BJP,49.68,SP,28.96,BSP,10.97
122,Faridpur (SC),Aonla,Bareilly,75-80,20-25,15.78,80-85,15-20,55-60,65-70,40-45,SP,35.09,BJP,25.41,BSP,20.91,BJP,45.09,SP,28.58,BSP,14.99
123,Bithari Chainpur,Aonla,Bareilly,65-70,30-35,12.82,75-80,20-25,55-60,65-70,45-50,BSP,26.87,SP,25.23,IEMC,14.34,BJP,45.21,SP,28.30,BSP,15.75
124,Bareilly,Bareilly,Bareilly,60-65,35-40,7.56,0-5,95-100,65-70,70-75,60-65,BJP,37.19,SP,22.60,IEMC,16.77,BJP,55.35,SP,24.24,INC,10.64
125,Bareilly Cantt.,Bareilly,Bareilly,55-60,35-40,9.06,0-5,95-100,70-75,75-80,65-70,BJP,33.71,SP,21.40,IEMC,15.82,BJP,54.30,SP,22.60,INC,15.48
126,Aonla,Aonla,Bareilly,70-75,20-25,15.69,80-85,15-20,50-55,60-65,35-40,BJP,30.85,SP,28.17,BSP,24.96,BJP,42.38,SP,28.02,BSP,16.95
127,Pilibhit,Pilibhit,Pilibhit,55-60,35-40,12.30,65-70,30-35,60-65,70-75,50-55,SP,27.37,BSP,25.48,BJP,21.23,BJP,54.83,SP,26.43,BSP,12.76
128,Barkhera,Pilibhit,Pilibhit,80-85,10-15,18.96,90-95,5-10,60-65,70-75,45-50,SP,35.27,BJP,19.80,BSP,15.19,BJP,62.36,SP,17.57,BSP,12.53
129,Puranpur (SC),Pilibhit,Pilibhit,60-65,25-30,17.55,90-95,5-10,55-60,65-70,45-50,SP,32.98,BJP,19.21,INC,16.42,BJP,48.20,SP,24.79,BSP,18.68
130,Bisalpur,Pilibhit,Pilibhit,80-85,15-20,17.10,80-85,15-20,60-65,70-75,50-55,BJP,49.71,INC,24.76,BSP,14.28,BJP,50.89,BSP,28.40,SP,15.21
131,Katra,Shahjahanpur (SC),Shahjahanpur,85-90,10-15,17.84,85-90,5-10,50-55,60-65,40-45,SP,27.51,BSP,27.04,INC,16.93,BJP,43.67,BSP,25.75,SP,24.11
132,Jalalabad,Shahjahanpur (SC),Shahjahanpur,85-90,10-15,12.61,85-90,5-10,55-60,60-65,40-45,BSP,37.97,SP,37.69,INC,14.90,BJP,39.47,BSP,30.80,SP,25.29
133,Tilhar,Shahjahanpur (SC),Shahjahanpur,75-80,20-25,17.90,85-90,10-15,55-60,65-70,45-50,BSP,36.28,SP,30.82,INC,18.93,BJP,43.80,BSP,25.75,SP,23.00
134,Powayan (SC),Shahjahanpur (SC),Shahjahanpur,80-85,5-10,25.80,90-95,5-10,60-65,70-75,50-55,SP,28.78,BSP,24.50,INC,24.30,BJP,51.55,BSP,21.24,SP,20.31
135,Shahjahanpur,Shahjahanpur (SC),Shahjahanpur,60-65,35-40,11.99,20-25,70-75,65-70,70-75,55-60,BJP,45.00,SP,36.08,BSP,11.00,BJP,51.78,BSP,23.78,SP,17.10
136,Dadraul,Shahjahanpur (SC),Shahjahanpur,85-90,10-15,19.74,90-95,0-5,55-60,65-70,45-50,SP,29.35,BSP,27.04,BJP,13.66,BJP,47.64,BSP,27.05,SP,19.59
137,Palia,Kheri,Kheri,70-75,15-20,26.85,90-95,5-10,55-60,65-70,45-50,BSP,27.29,SP,24.37,INC,11.56,BJP,36.93,BSP,29.49,INC,14.58
138,Nighasan,Kheri,Kheri,70-75,20-25,20.50,85-90,10-15,45-50,55-60,35-40,BJP,36.39,SP,21.33,BSP,17.37,BJP,41.27,BSP,20.60,INC,16.80
139,Gola Gokrannath,Kheri,Kheri,75-80,15-20,28.95,80-85,15-20,65-70,75-80,55-60,SP,37.04,BSP,28.35,INC,27.35,BSP,38.15,BJP,28.20,SP,17.88
140,Sri Nagar (SC),Kheri,Kheri,75-80,15-20,30.16,95-100,0-5,60-65,70-75,50-55,SP,37.46,BSP,20.35,IND,12.91,BJP,36.49,BSP,27.16,INC,18.18
141,Dhaurahra,Dhaurahra,Kheri,80-85,15-20,24.90,95-100,0-5,45-50,55-60,35-40,BSP,30.54,SP,30.04,INC,25.73,BJP,33.46,SP,26.83,INC,16.69
142,Lakhimpur,Kheri,Kheri,70-75,20-25,20.00,60-65,35-40,65-70,75-80,60-65,SP,38.65,BSP,20.90,PECP,19.67,BJP,42.61,INC,23.87,BSP,17.62
143,Kasta (SC),Dhaurahra,Kheri,80-85,10-15,32.29,95-100,0-5,65-70,75-80,55-60,SP,45.29,BSP,31.55,INC,8.57,BJP,36.42,BSP,22.37,INC,18.60
144,Mohammdi,Dhaurahra,Kheri,70-75,20-25,29.11,85-90,10-15,60-65,70-75,50-55,BSP,28.86,SP,23.19,BJP,14.52,BJP,34.64,SP,23.58,BSP,22.69
145,Maholi,Dhaurahra,Sitapur,85-90,10-15,32.17,95-100,0-5,65-70,75-80,55-60,SP,40.04,BSP,29.60,INC,13.36,BJP,32.54,BSP,24.67,SP,20.62
146,Sitapur,Sitapur,Sitapur,75-80,20-25,25.77,55-60,40-45,65-70,75-80,60-65,SP,29.68,BSP,24.44,BJP,22.36,BJP,41.35,BSP,30.91,SP,16.88
147,Hargaon (SC),Dhaurahra,Sitapur,80-85,15-20,37.31,95-100,0-5,55-60,65-70,45-50,BSP,38.36,SP,32.06,INC,20.21,BJP,33.12,BSP,25.25,SP,21.19
148,Laharpur,Sitapur,Sitapur,65-70,30-35,28.98,80-85,15-20,50-55,60-65,40-45,BSP,37.08,INC,27.96,SP,24.00,BSP,39.44,BJP,36.46,SP,17.26
149,Biswan,Sitapur,Sitapur,70-75,25-30,32.72,85-90,10-15,60-65,65-70,50-55,SP,38.19,BSP,34.42,INC,11.23,BSP,38.29,BJP,36.66,SP,17.75
150,Sevata,Sitapur,Sitapur,75-80,20-25,21.71,95-100,0-5,45-50,55-60,35-40,SP,28.08,INC,26.69,BSP,22.24,BJP,43.77,BSP,32.26,SP,14.36
151,Mahmoodabad,Sitapur,Sitapur,70-75,25-30,27.70,85-90,10-15,60-65,65-70,50-55,SP,46.59,BSP,36.05,INC,11.01,BJP,45.54,BSP,37.48,SP,9.35
152,Sidhauli (SC),Mohanlalganj (SC),Sitapur,85-90,10-15,40.33,90-95,0-5,60-65,70-75,50-55,SP,36.65,BSP,33.35,INC,15.30,BSP,35.28,BJP,28.90,SP,28.46
153,Misrikh (SC),Misrikh (SC),Sitapur,90-95,5-10,43.26,95-100,0-5,60-65,75-80,50-55,SP,32.76,BSP,31.94,INC,18.18,BSP,38.89,BJP,32.09,SP,22.12
154,Sawaijpur,Hardoi (SC),Hardoi,90-95,5-10,16.00,95-100,0-5,65-70,75-80,55-60,BSP,23.32,JaKP,21.17,BJP,17.86,BJP,48.23,SP,29.04,BSP,17.94
155,Shahabad,Hardoi (SC),Hardoi,75-80,20-25,28.37,80-85,15-20,60-65,70-75,50-55,SP,44.27,BSP,38.79,BJP,6.41,BJP,39.74,BSP,35.84,SP,16.84
156,Hardoi,Hardoi (SC),Hardoi,85-90,5-10,33.19,60-65,35-40,70-75,75-80,60-65,SP,54.60,BSP,32.93,INC,7.94,SP,36.98,BJP,34.02,BSP,24.54
157,Gopamau (SC),Hardoi (SC),Hardoi,80-85,15-20,36.28,85-90,5-10,60-65,70-75,50-55,SP,36.70,BSP,33.32,INC,17.08,BSP,34.79,BJP,33.94,SP,23.62
158,Sandi (SC),Hardoi (SC),Hardoi,90-95,5-10,41.77,90-95,0-5,60-65,75-80,50-55,SP,38.12,BSP,34.30,INC,15.67,SP,35.57,BSP,31.50,BJP,28.19
159,Bilgram-Mallanwan,Misrikh (SC),Hardoi,80-85,15-20,21.69,80-85,15-20,65-70,75-80,55-60,BSP,30.50,SP,27.05,PECP,25.50,BJP,50.24,BSP,24.86,SP,20.16
160,Balamau (SC),Misrikh (SC),Hardoi,85-90,10-15,47.36,90-95,0-5,60-65,70-75,45-50,SP,38.24,BSP,38.14,NCP,7.74,BSP,44.15,BJP,33.74,SP,16.54
161,Sandila,Misrikh (SC),Hardoi,80-85,15-20,26.68,85-90,10-15,55-60,65-70,45-50,SP,43.87,BSP,33.95,RLM,8.32,BJP,37.56,BSP,33.45,SP,19.14
162,Bangermau,Unnao,Unnao,80-85,15-20,26.91,80-85,10-15,60-65,70-75,50-55,SP,31.14,BSP,27.33,BJP,13.51,BJP,42.94,SP,19.12,BSP,17.86
163,Safipur (SC),Unnao,Unnao,85-90,10-15,36.23,90-95,5-10,60-65,70-75,50-55,SP,42.90,BSP,37.57,BJP,8.03,BJP,41.12,BSP,18.42,INC,17.68
164,Mohan (SC),Unnao,Unnao,90-95,5-10,38.97,90-95,5-10,60-65,70-75,50-55,BSP,25.98,BJP,21.02,SP,16.88,BJP,40.90,BSP,21.80,INC,17.20
165,Unnao,Unnao,Unnao,85-90,10-15,20.48,45-50,50-55,70-75,75-80,60-65,SP,33.85,BJP,28.28,BSP,26.55,BJP,51.84,SP,16.40,INC,13.99
166,Bhagwantnagar,Unnao,Unnao,90-95,0-5,29.76,90-95,5-10,70-75,80-85,60-65,SP,33.45,BJP,21.99,BSP,20.74,BJP,44.88,SP,17.18,BSP,16.30
167,Purwa,Unnao,Unnao,90-95,5-10,32.69,90-95,5-10,65-70,75-80,50-55,SP,40.94,BSP,27.51,INC,14.39,BJP,36.61,SP,22.19,INC,21.03
168,Malihabad (SC),Mohanlalganj (SC),Lucknow,80-85,15-20,39.22,90-95,5-10,65-70,70-75,55-60,SP,31.17,RCP,30.07,BSP,26.59,BJP,46.33,SP,24.12,BSP,22.46
169,Bakshi Kaa Talab,Mohanlalganj (SC),Lucknow,85-90,10-15,26.37,65-70,30-35,70-75,75-80,60-65,SP,36.76,BSP,35.88,INC,12.25,BJP,43.51,BSP,25.85,SP,20.31
170,Sarojini Nagar,Mohanlalganj (SC),Lucknow,85-90,10-15,26.74,40-45,55-60,75-80,85-90,70-75,SP,28.88,BSP,25.30,RSBP,17.68,BJP,49.74,BSP,22.17,SP,15.14
171,Lucknow West,Lucknow,Lucknow,60-65,35-40,8.35,0-5,95-100,75-80,80-85,70-75,SP,29.35,BJP,24.76,INC,21.28,BJP,48.68,INC,31.67,BSP,6.44
172,Lucknow North,Lucknow,Lucknow,65-70,30-35,8.10,0-5,95-100,75-80,80-85,75-80,SP,28.11,INC,26.80,BJP,26.73,BJP,54.99,INC,25.63,SP,6.74
173,Lucknow East,Lucknow,Lucknow,85-90,10-15,8.91,0-5,95-100,85-90,90-95,80-85,BJP,36.31,SP,25.31,INC,18.61,BJP,63.95,INC,19.53,BSP,6.33
174,Lucknow Central,Lucknow,Lucknow,60-65,35-40,9.04,0-5,95-100,80-85,80-85,75-80,SP,37.05,BJP,23.60,INC,21.08,BJP,46.95,INC,37.15,SP,5.49
175,Lucknow Cantt.,Lucknow,Lucknow,80-85,10-15,13.83,0-5,95-100,85-90,85-90,75-80,INC,38.95,BJP,25.51,BSP,17.82,BJP,55.26,INC,27.17,BSP,7.33
176,Mohanlalganj (SC),Mohanlalganj (SC),Lucknow,85-90,10-15,41.73,90-95,5-10,65-70,70-75,55-60,SP,33.48,BSP,22.15,RSBP,18.45,BSP,34.40,BJP,33.19,SP,21.90
177,Bachhrawan (SC),Rae Bareli,Rae Bareli,90-95,5-10,37.82,95-100,0-5,65-70,75-80,50-55,SP,32.43,RSBP,17.21,INC,15.96,INC,56.22,BJP,26.63,BSP,9.48
178,Tiloi,Amethi,Rae Bareli,70-75,25-30,28.36,90-95,0-5,55-60,70-75,45-50,INC,33.12,SP,31.65,BSP,12.99,INC,44.34,BJP,37.88,BSP,6.54
179,Harchandpur,Rae Bareli,Rae Bareli,90-95,0-5,30.94,95-100,0-5,65-70,75-80,55-60,SP,31.09,INC,22.49,PECP,16.36,INC,64.18,BJP,20.30,BSP,7.53
180,Rae Bareli,Rae Bareli,Rae Bareli,85-90,10-15,23.67,60-65,35-40,70-75,80-85,60-65,PECP,39.73,SP,24.22,INC,18.74,INC,71.38,BJP,16.60,BSP,5.40
181,Salon (SC),Amethi,Rae Bareli,80-85,15-20,31.58,90-95,0-5,60-65,70-75,45-50,SP,40.28,INC,28.27,BSP,13.46,INC,50.06,BJP,31.26,BSP,5.39
182,Sareni,Rae Bareli,Rae Bareli,90-95,5-10,29.09,90-95,5-10,70-75,85-90,60-65,SP,33.06,BSP,26.13,INC,25.52,INC,65.18,BJP,19.84,BSP,8.05
183,Unchahar,Rae Bareli,Rae Bareli,90-95,5-10,30.72,95-100,0-5,65-70,75-80,55-60,SP,33.18,BSP,31.80,INC,25.66,INC,61.43,BJP,22.24,BSP,8.21
184,Jagdishpur (SC),Amethi,Sultanpur,65-70,25-30,26.84,90-95,0-5,60-65,70-75,50-55,INC,32.55,SP,29.43,BSP,18.88,INC,45.15,BJP,37.23,BSP,6.40
185,Gauriganj,Amethi,Sultanpur,85-90,10-15,26.52,95-100,0-5,60-65,75-80,50-55,SP,24.36,INC,24.08,BJP,19.19,INC,47.51,BJP,35.09,BSP,6.08
186,Amethi,Amethi,Sultanpur,90-95,5-10,18.91,90-95,0-5,70-75,80-85,60-65,SP,35.84,INC,30.47,BSP,21.70,INC,46.53,BJP,30.14,BSP,8.74
187,Isauli,Sultanpur,Sultanpur,70-75,20-25,16.78,95-100,0-5,70-75,80-85,55-60,SP,28.61,PECP,20.44,IND,14.70,BJP,42.73,SP,31.10,BSP,16.76
188,Sultanpur,Sultanpur,Sultanpur,70-75,20-25,16.00,75-80,20-25,70-75,80-85,65-70,SP,31.91,BSP,28.15,PECP,17.92,BJP,44.74,SP,29.96,BSP,17.79
189,Sadar,Sultanpur,Sultanpur,90-95,5-10,24.08,95-100,0-5,65-70,80-85,55-60,SP,42.97,BSP,30.48,BJP,14.57,BJP,42.46,BSP,28.65,SP,18.72
190,Lambhua,Sultanpur,Sultanpur,85-90,10-15,23.29,95-100,0-5,70-75,80-85,55-60,SP,41.25,BSP,31.61,INC,13.61,BJP,42.03,BSP,25.67,SP,22.28
191,Kadipur (SC),Sultanpur,Sultanpur,90-95,5-10,26.48,90-95,0-5,70-75,80-85,55-60,SP,51.40,BSP,31.26,INC,6.30,BJP,40.66,BSP,30.99,SP,16.23
192,Kaimganj (SC),Farrukhabad,Farrukhabad,80-85,15-20,19.38,85-90,10-15,60-65,70-75,50-55,SP,28.79,BJP,17.62,BSP,16.32,BJP,39.26,SP,22.48,INC,13.79
193,Amritpur,Farrukhabad,Farrukhabad,90-95,5-10,13.05,95-100,0-5,70-75,75-80,55-60,SP,32.13,JaKP,20.16,BJP,18.48,BJP,42.84,SP,20.52,IND,13.62
194,Farrukhabad,Farrukhabad,Farrukhabad,75-80,20-25,15.91,35-40,60-65,70-75,75-80,65-70,IND,18.95,BJP,18.86,BSP,16.85,BJP,53.76,INC,17.82,BSP,13.53
195,Bhojpur,Farrukhabad,Farrukhabad,80-85,15-20,17.33,90-95,5-10,70-75,80-85,60-65,SP,29.97,JaKP,19.16,BJP,16.22,BJP,50.04,SP,15.09,BSP,14.46
196,Chhibramau,Kannauj,Kannauj,80-85,15-20,16.47,70-75,25-30,70-75,80-85,60-65,SP,31.34,BSP,30.26,BJP,27.53,SP,49.66,BJP,40.34,BSP,7.49
197,Tirwa,Kannauj,Kannauj,90-95,5-10,18.64,90-95,5-10,70-75,80-85,65-70,SP,41.90,BSP,24.53,BJP,17.26,BJP,46.37,SP,42.73,BSP,8.53
198,Kannauj (SC),Kannauj,Kannauj,80-85,15-20,21.17,80-85,10-15,70-75,75-80,60-65,SP,46.11,BSP,24.10,BJP,20.34,SP,44.28,BJP,41.06,BSP,11.90
199,Jaswantnagar,Mainpuri,Etawah,90-95,0-5,23.40,90-95,0-5,75-80,85-90,65-70,SP,61.90,BSP,24.32,BJP,5.89,SP,79.16,BJP,10.71,BSP,8.24
200,Etawah,Etawah (SC),Etawah,85-90,10-15,19.62,45-50,50-55,75-80,85-90,70-75,SP,37.37,BSP,34.25,BJP,13.83,BJP,48.18,SP,34.97,BSP,11.89
