No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,
77,Firozpur Rural (SC),INC,Satkar Kaur,71037,45.33,SAD,Joginder Singh Jindu,49657,31.69,21380,13.64,AAP,Mohan Singh Phallian Wala,32011,20.43,IND,Joginder Singh,924,0.59,BSP,Puran,698,0.45,920,0.59,1465,0.93,156712,SAD(A)(M),Lal Singh Sulhani,498,0.32,IND,Amarjit Singh Gharu,276,0.18,SWP,Badal Singh,261,0.17,IND,Sunny Kumar,228,0.15,IND,Sajan,202,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Guru Har Sahai,INC,Gurmeet Singh Sodhi,62787,45.73,SAD,Vardev Singh,56991,41.51,5796,4.22,AAP,Malkit Chand,14282,10.40,BSP,Gurmukh Singh,530,0.39,SAD(A)(M),Iqbal Singh,462,0.34,724,0.53,1522,1.11,137298,IND,Gurmit Singh,413,0.30,IND,Gurmeet Singh Sodhi,245,0.18,IND,Manoj Kumar,192,0.14,IND,Gurmit Singh,166,0.12,IKL,Harbhajan Singh,123,0.09,IND,Sham Lal,99,0.07,IND,Swaran Singh Alias Rocky,93,0.07,APP,Raj Kumar,65,0.05,IND,Sandeep Singh,64,0.05,SPP,Kulwant Singh,62,0.05,,,,,,,,,,,,
79,Jalalabad,SAD,Sukhbir Singh Badal,75271,44.53,AAP,Bhagwant Mann,56771,33.58,18500,10.94,INC,Ravneet Singh Bittu,31539,18.66,CPI,Surinder Singh,1743,1.03,IND,Balwinder Singh,653,0.39,1112,0.66,1960,1.16,169049,BSP,Malkit Singh,528,0.31,APP,Bakhshish Singh,366,0.22,IND,Mukhtiar Singh,351,0.21,SAD(A)(M),Gurmit Singh,350,0.21,IND,Swaran Singh Rocky,196,0.12,IND,Joginder Singh,169,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Fazilka,INC,Davinder Singh Ghubaya,39276,27.45,BJP,Surjit Kumar Jyani,39011,27.27,265,0.19,IND,Rajdeep Kaur,38135,26.65,AAP,Samarbir Singh Sidhu,16404,11.47,APP,Kirti Choudhary,3892,2.72,669,0.47,5686,3.97,143073,IND,Ramesh Kataria,2321,1.62,IND,Vinod Kumar,639,0.45,BSP,Harjeet Singh,630,0.44,IND,Naginder Singh,511,0.36,IND,Rachna Kataria,383,0.27,IND,Surya Prakash,344,0.24,IKL,Gurjinder Singh,290,0.20,SAD(A)(M),Makhan Singh,227,0.16,IND,Arun,189,0.13,IND,Kashmir Singh,152,0.11,,,,,,,,,,,,
81,Abohar,BJP,Arun Narang,55091,44.03,INC,Sunil Jakhar,51812,41.41,3279,2.62,AAP,Atul Nagpal,13888,11.10,BSP,Prithi Raj,642,0.51,IND,Nathu Ram,614,0.49,1212,0.97,1870,1.49,125129,IND,Dilbag Singh,550,0.44,RMPI,Ram Kumar,414,0.33,IND,Gurjant Singh,335,0.27,IND,Ashok Kumar,298,0.24,IND,Shiv Lal Doda,165,0.13,IND,Amit Doda,108,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Balluana (SC),INC,Nathu Ram,65607,45.96,SAD,Parkash Singh Bhatti,50158,35.14,15449,10.82,AAP,Simarjeet Singh,22464,15.74,AITC,Giri Raj Rajora,1072,0.75,BSP,Satish Kumar,888,0.62,1175,0.82,1372,0.96,142736,IND,Vinod Kumar,705,0.49,NAIP,Gurmail Singh,667,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Lambi,SAD,Parkash Singh,66375,49.54,INC,Amarinder Singh,43605,32.54,22770,16.99,AAP,Jarnail Singh,21254,15.86,PLP,Gurmeet Singh Ranghreta,730,0.54,SAD(A)(M),Baljinder Singh,531,0.40,1101,0.82,391,0.29,133987,APP,Manmander Singh,391,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Gidderbaha,INC,Amrinder Singh @ Raja Warring,63500,45.61,SAD,Hardeep Singh @ Dimpy Dhillon,47288,33.96,16212,11.64,AAP,Jagdeep Singh,25334,18.20,CPI,Jagrup Singh,840,0.60,BSP,Sheela Rani,582,0.42,885,0.64,798,0.57,139227,IND,Om Parkash,442,0.32,NAIP,Tek Singh,356,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Malout (SC),INC,Ajaib Singh Bhatti,49098,36.05,SAD,Darshan Singh,44109,32.39,4989,3.66,AAP,Principal Baldev Singh,38663,28.39,CPI,Gurtej Singh,1130,0.83,BSP,Sukhdev Singh,1039,0.76,899,0.66,1256,0.92,136194,IND,Baldev Singh,864,0.63,IND,Resham Singh,392,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Muktsar,SAD,Kanwarjit Singh,44894,30.52,INC,Karan Kaur,36914,25.10,7980,5.43,AAP,"Jagdeep Singh ""Kaka Brar""",33201,22.57,IND,Sukhdarshan Singh Mrar,28204,19.18,BSP,Ashok Kumar,741,0.50,858,0.58,2272,1.54,147084,IND,Baljit Singh,614,0.42,RMPI,Harjit Singh,586,0.40,IND,Ripendeep Kaur,450,0.31,IND,Alwinder Singh,426,0.29,APP,Rajesh Garg,196,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Faridkot,INC,Kusaldeep Singh Kiki Dhillon,51026,40.36,AAP,Gurdit Singh Sekhon,39367,31.14,11659,9.22,SAD,Parambans Singh Bunty Romana,32612,25.80,BSP,Gurbax Singh Chauhan,1031,0.82,APP,Hardip Singh Kingra,456,0.36,759,0.60,1169,0.92,126420,IND,Bunty,374,0.30,DSP,Ravinder Pal Kaur,316,0.25,IND,Prem Singh Safri,271,0.21,IND,Dr. Jiwan Jot Kaur,208,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Kotkapura,AAP,Kultar Singh Sandhwan,47401,38.76,INC,Bhai Harnirpal Singh Kukku,37326,30.52,10075,8.24,SAD,Mantar Singh Brar,33895,27.71,BSP,Avtar Krishan,1278,1.04,IND,Gurdeep Singh,585,0.48,674,0.55,1144,0.94,122303,APP,Surinder Kumar Dwivedi,524,0.43,NAIP,Jagroop Singh,342,0.28,IND,Ramesh Kumar,278,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jaitu (SC),AAP,Baldev Singh,45344,37.84,INC,Mohammad Sadique,35351,29.50,9993,8.34,SAD,Manjit Singh @ Suba Singh,33064,27.59,CPI,Balvir Singh,1298,1.08,BSP,Kikar Singh,1221,1.02,677,0.56,2889,2.41,119844,SAD(A)(M),Gurdeep Singh,785,0.66,APP,Harpal Singh,636,0.53,AITC,Avtar Singh Sahota,448,0.37,IND,Gurpreet Singh,387,0.32,RPI(A),Pyara Singh,337,0.28,IND,Jaswinder Singh,296,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Rampura Phul,INC,Gurpreet Singh Kangar,55269,40.46,SAD,Sikander Singh Maluka,44884,32.86,10385,7.60,AAP,Manjit Singh Sidhu,32693,23.93,IND,Paramjit Singh Sidhu,666,0.49,BSP,Avtar Singh,648,0.47,445,0.33,2002,1.47,136607,IND,Manjit Singh,579,0.42,IND,Gurpreet Singh Mehraj,350,0.26,IND,Jaswant Singh Sidhu,347,0.25,IND,Sikander Singh,255,0.19,IND,Charan Singh,182,0.13,IND,Gurpreet Singh,84,0.06,IND,Karamjit Singh,77,0.06,IND,Gurpreet Singh,75,0.05,IND,Simarjit Singh,53,0.04,,,,,,,,,,,,,,,,
91,Bhucho Mandi (SC),INC,Pritam Singh Kotbhai,51605,34.04,AAP,Jagsir Singh,50960,33.61,645,0.43,SAD,Harpreet Singh,44025,29.04,IND,Kiranjit Singh Gehri,1775,1.17,BSP,Mumtaj,1137,0.75,711,0.47,1395,0.92,151608,AITC,Surinder Pal Somi Tungwalia,985,0.65,IND,Baldev Singh,410,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Bathinda Urban,INC,Manpreet Singh Badal,63942,42.24,AAP,Deepak Bansal,45462,30.03,18480,12.21,SAD,Sarup Chand Singla,37177,24.56,BSP,Suresh Kumar,913,0.60,IND,Satish Kumar,526,0.35,1208,0.80,2164,1.43,151392,SHS,Parveen Hiteshi,418,0.28,BMUP,Sant Lal,382,0.25,IND,Bimla Rani,337,0.22,APP,Jatinder Roy Khattar,295,0.19,DSP,Gian Chand Bansal,258,0.17,HSS,Sukhchain Singh,212,0.14,SAD(A)(M),Harvinder Singh Harry,157,0.10,JJJKP,Hardeep Kumar Sharma,105,0.07,,,,,,,,,,,,,,,,,,,,
93,Bathinda Rural (SC),AAP,Rupinder Kaur Ruby,51572,40.58,SAD,Er. Amit Rattan Kotfatta,40794,32.10,10778,8.48,INC,Harvinder Singh Laddi,28939,22.77,BSP,Davinderpal Singh,1037,0.82,IND,Gursewak Singh,1035,0.81,1216,0.96,2484,1.95,127077,CPI,Surjeet Singh Sohi,909,0.72,APP,Jaswinder Singh Gill,740,0.58,AITC,Jagtar Singh,459,0.36,IND,Jagsir Singh,376,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Talwandi Sabo,AAP,Prof. Baljinder Kaur,54553,42.48,INC,Khushbaz Singh Jatana,35260,27.46,19293,15.02,SAD,Jeetmohinder Singh Sidhu,34473,26.84,BSP,Harjinder Singh Mithan,1346,1.05,IND,Karamjit Singh,660,0.51,578,0.45,1556,1.21,128426,SAD(A)(M),Avtar Singh Chopra,596,0.46,IND,Baljinder Singh,355,0.28,IND,Darshan Singh,338,0.26,APP,Varinder Singh Dhillon,267,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Maur,AAP,Jagdev Singh,62282,45.27,SAD,Janmeja Singh Sekhon,47605,34.60,14677,10.67,INC,Harminder Singh Jassi,23087,16.78,IND,Sukhraj Singh Natt,1938,1.41,CPI(ML)(L),Harvinder Singh,570,0.41,853,0.62,1258,0.91,137593,AITC,Taranpal Singh Dhillon,537,0.39,BSP,Dusahira Singh,436,0.32,APP,Harpal Singh,285,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Mansa,AAP,Nazar Singh Manshahia,70586,40.49,INC,Manoj Bala,50117,28.75,20469,11.74,SAD,Jagdeep Singh Nakai,44232,25.37,CPI(ML)(L),Ranjit Singh Tamkot,3883,2.23,SAD(A)(M),Jaskaran Singh Kahan Singh Wala,1519,0.87,1253,0.72,2736,1.57,174326,BSP,Bhupinder Singh Birval,1385,0.79,IND,Anil Jony,879,0.50,APP,Mangu Singh,472,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Sardulgarh,SAD,Dilraj Singh,59420,38.67,INC,Ajit Inder Singh,50563,32.91,8857,5.76,AAP,Sukhwinder Singh (Bhola Mann),38102,24.80,BSP,Jasveer Singh,1188,0.77,CPI(ML)(L),Surjit Singh,995,0.65,1062,0.69,2332,1.52,153662,RMPI,Lal Chand,836,0.54,AITC,Parminder Singh,646,0.42,APP,Jaswant Singh,434,0.28,SAD(A)(M),Rajinder Singh,416,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Budhlada (SC),AAP,Budh Ram,52265,32.21,INC,Ranjit Kaur Bhatti,50989,31.43,1276,0.79,SAD,Nishan Singh,50477,31.11,CPI,Krishan Singh,1986,1.22,CPI(ML)(L),Bhagwant Singh Samao,1601,0.99,778,0.48,4148,2.56,162244,SAD(A)(M),Ranjit Singh,1383,0.85,BSP,Sher Singh,1074,0.66,IND,Kala Singh,651,0.40,APP,Kirpal Singh,549,0.34,AITC,Lachhman Singh Mal Singh Wala,491,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Lehra,SAD,Parminder Singh Dhindsa,65550,47.43,INC,Rajinder Kaur Bhattal,38735,28.03,26815,19.40,AAP,Jasvir Singh,25089,18.15,BSP,Ram Dass,3284,2.38,IND,Sham Singh,1582,1.14,962,0.70,3002,2.17,138204,CPI,Satwant Singh,1201,0.87,DSP,Raj Kumar,688,0.50,IND,Baldev Singh,621,0.45,SAD(A)(M),Gian Singh,492,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Dirba (SC),AAP,Harpal Singh Cheema,46434,31.88,INC,Ajaib Singh Ratolan,44789,30.75,1645,1.13,SAD,Gulzar Singh,44777,30.74,IND,Darshan Singh Sidhu,2875,1.97,BSP,Harwinder Singh,2081,1.43,1147,0.79,3567,2.45,145670,SAD(A)(M),Mandeep Singh,1779,1.22,CPI(ML)(L),Ghamand Singh,789,0.54,IND,Bikar Singh,630,0.43,APP,Jagtar Singh,369,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Sunam,AAP,Aman Arora,72815,46.85,SAD,Gobind Singh Longowal,42508,27.35,30307,19.50,INC,Daaman Thind Bajwa,30518,19.64,IND,Rajinder Deepa,3237,2.08,SAD(A)(M),Sahbaj Singh Daska,1041,0.67,1718,1.11,3569,2.30,155406,IND,Labh Singh,927,0.60,CPIM,Jarnail Singh,911,0.59,BSP,Ram Singh,641,0.41,IND,Yadwinder Singh,375,0.24,IND,Binder Singh,322,0.21,IND,Paramjeet Kaur,203,0.13,APP,Randhir Singh,190,0.12,,,,,,,,,,,,,,,,,,,,,,,,
102,Bhadaur (SC),AAP,Pirmal Singh Dhaula,57095,44.85,SAD,Sant Balvir Singh Ghunas,36311,28.52,20784,16.33,INC,Joginder Singh,26615,20.91,SAD(A)(M),Paramjit Singh,2095,1.65,IND,Bagga Singh,1187,0.93,836,0.66,3159,2.48,127298,BSP,Karamjit Singh,941,0.74,CPI(ML)(L),Savaran Singh,628,0.49,IND,Rajinder Kaur Meemsa,527,0.41,IND,Gora Singh,468,0.37,CPI(ML)RS,Jagdeep Singh,376,0.30,APP,Gurmit Singh,219,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Barnala,AAP,Gurmeet Singh Meet Haher,47606,35.49,INC,Kewal Singh Dhillon,45174,33.67,2432,1.81,SAD,Surinder Pal Singh Sibia,31111,23.19,SAD(A)(M),Simranjit Singh Mann,5061,3.77,BSP,Paramjit Kaur,2369,1.77,889,0.66,1942,1.45,134152,AITC,Gurkimat Singh,941,0.70,IND,Mahinder Singh,411,0.31,BMUP,Jaspal Singh,336,0.25,IVD,Raj Kumar,254,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Mehal Kalan (SC),AAP,Kulwant Singh Pandori,57551,45.78,SAD,Ajit Singh Shant,30487,24.25,27064,21.53,INC,Harchand Kaur,25688,20.43,BSP,Makhan Singh,4922,3.92,IND,Gobind Singh,3183,2.53,924,0.74,2952,2.35,125707,CPI,Khusia Singh,1177,0.94,IND,Gurmail Singh,892,0.71,IND,Darbara Singh,341,0.27,APP,Gurmit Singh,306,0.24,BMUP,Sarabjit Singh,236,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Malerkotla,INC,Razia Sultana,58982,46.72,SAD,Mohammad Owais,46280,36.66,12702,10.06,AAP,Mohamad Arshad,17635,13.97,BSP,Shamshad Ali,665,0.53,IUML,Mahmood Ahmed Thind,524,0.42,603,0.48,1566,1.24,126255,IND,Dharminder Singh,307,0.24,IND,Tanveer Ahmed,302,0.24,AITC,Parveen Nusrat,297,0.24,IND,Saiful Islam,267,0.21,IND,Mohd Mukarram Saify,203,0.16,NCP,Maksood Ul Hak,190,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Amargarh,INC,Surjit Singh Dhiman,50994,38.76,SAD,Iqbal Singh Jhundan,39115,29.73,11879,9.03,LIP,Prof. Jaswant Singh Gajjanmajra,36063,27.41,CPI,Pritam Singh,696,0.53,IND,Devinder Kaur Chaunda,637,0.48,850,0.65,3198,2.43,131553,SAD(A)(M),Karnail Singh,600,0.46,DSP,Gurdarshan Singh,600,0.46,IND,Manjinder Singh,578,0.44,BSP,Tarsem Singh,534,0.41,IND,Kulwant Singh Mohali,349,0.27,IND,Haprinder Singh,286,0.22,IND,Amar Singh,251,0.19,,,,,,,,,,,,,,,,,,,,,,,,
107,Dhuri,INC,Dalvir Singh Goldy,49347,38.42,AAP,Jasvir Singh Jassi Sekhon,46536,36.24,2811,2.19,SAD,Hari Singh,28611,22.28,SAD(A)(M),Surjit Singh Kalabula,1405,1.09,BSP,Bhola Singh,1390,1.08,662,0.52,474,0.37,128425,IND,Tarsem Kumar,474,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Sangrur,INC,Vijay Inder Singla,67310,47.14,AAP,Dinesh Bansal,36498,25.56,30812,21.58,SAD,Parkash Chand Garg,34510,24.17,SAD(A)(M),Gurnaib Singh,1863,1.30,BSP,Atma Singh,939,0.66,768,0.54,893,0.63,142781,IND,Manjeet Kaur,492,0.34,APP,Parminder Kaur,401,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Nabha (SC),INC,Sadhu Singh,60861,42.73,AAP,Gurdev Singh Dev Mann,41866,29.39,18995,13.34,SAD,Kabir Dass,32482,22.81,IND,Jeet Ram,2689,1.89,CPI,Kashmir Singh,1409,0.99,1280,0.90,1845,1.30,142432,BSP,Jagtar Singh,716,0.50,APP,Jarnail Singh,612,0.43,IND,Ranjit Kaur Thuhi,517,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Patiala Rural,INC,Brahm Mohindra,68891,46.97,AAP,Karanvir Singh Tiwana,41662,28.41,27229,18.57,SAD,Satbir Singh Khatra,30784,20.99,CPI,Uttam Singh Bagri,1125,0.77,BSP,Sukh Lal,1119,0.76,1009,0.69,2078,1.42,146668,APP,Shaminder Kaur,388,0.26,IND,Jasvir Kaur,297,0.20,IND,Resham Kahlon,280,0.19,IND,Jasbir Singh,273,0.19,BGTD,Ranjit Kaur,245,0.17,SHS,Shankar Bharadwaj,234,0.16,HSS,Bharatdeep Thakur,206,0.14,SAKP,Sohan Lal Sharma,155,0.11,,,,,,,,,,,,,,,,,,,,
111,Rajpura,INC,Hardial Singh Kamboj,59107,46.15,AAP,Ashutosh Joshi,26542,20.72,32565,25.43,BJP,Harjit Singh Grewal,19151,14.95,IND,Jagdish Kumar,15073,11.77,IND,Nirmaljit Singh,3939,3.08,1026,0.80,3235,2.53,128073,BSP,Ravinder Jain,1126,0.88,SAD(A)(M),Sobha Singh,684,0.53,IND,Mahesh Kumar,443,0.35,IND,Dalbir Singh,429,0.33,APP,Rajinder Kumar,282,0.22,JJJKP,Sher Singh,271,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Dera Bassi,SAD,Narinder Kumar Sharma,70792,39.74,INC,Deepinder Singh,68871,38.66,1921,1.08,AAP,Sarabjit Kaur,33150,18.61,BSP,Gurmeet Singh,1268,0.71,SHS,Dharminder Kumar,892,0.50,1345,0.76,1822,1.02,178140,APP,Amrik Singh,562,0.32,IND,Vinod Kumar Sharma,473,0.27,SAKP,Manju Kaushal,449,0.25,IND,Maan Singh,338,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Ghanaur,INC,Thekedar Madan Lal Jalalpur,65965,52.57,SAD,Harpreet Kaur Mukhmailpur,29408,23.44,36557,29.13,AAP,Anu Randhawa,23188,18.48,IND,Anupinder Kaur Sandhu,2833,2.26,BSP,Jagjeet Singh,1275,1.02,829,0.66,1981,1.58,125479,DSP,Gursewak Singh,1131,0.90,JJJKP,Baljit Singh,462,0.37,IND,Surinder Kaur,388,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Sanour,SAD,Harinder Pal Singh Chandumajra,58867,35.72,INC,Harinder Pal Singh Mann,53997,32.77,4870,2.96,AAP,Kuldeep Kaur Tohra,33179,20.13,IND,Harmeet Singh Pathan Majra,11687,7.09,IND,Mohan Lal,1018,0.62,769,0.47,5274,3.20,164791,IND,Rajinder Singh Pawar,835,0.51,BSP,Gurpinder Singh Chhina,701,0.43,IND,Lakhwinder Singh Sanaur,650,0.39,IND,Puran Chand Vartia,468,0.28,SAD(A)(M),Bhupinder Singh Massingan,403,0.24,IND,Kuldip Kaur,360,0.22,SHS,Rajinder Singh,358,0.22,IND,Tarsem Singh Khatkar,339,0.21,CPIM,Ramesh Singh,317,0.19,IND,Gurpreet Singh,317,0.19,IND,Kulwant Kaur Bhunerheri,185,0.11,IND,Gurvinder Singh,181,0.11,BMUP,Gurmail Singh,160,0.10
115,Patiala,INC,Amarinder Singh,72586,68.29,AAP,Dr.Balbir Singh,20179,18.98,52407,49.30,SAD,Joginder Jaswant Singh,11677,10.99,HSS,Kshama Kant Pandey,291,0.27,IND,Sarbjit Singh,248,0.23,1090,1.03,227,0.21,106298,APP,Akshninder Singh,227,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Samana,INC,Rajinder Singh,62551,41.92,SAD,Surjit Singh Rakhra,52702,35.32,9849,6.60,AAP,Jagtar Singh Rajla,28884,19.36,SAD(A)(M),Rajinder Singh,1854,1.24,BSP,Davinder Singh Dhiman,1084,0.73,1052,0.70,1099,0.74,149226,IND,Ajaib Singh Bathoi,501,0.34,IND,Rajinder Singh,348,0.23,IND,Jaspal Singh,250,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Shutrana (SC),INC,Nirmal Singh,58008,41.84,SAD,Vaninder Kaur Loomba,39488,28.48,18520,13.36,AAP,Palwinder Kaur,32037,23.11,SAD(A)(M),Amarjit Singh,1671,1.21,IND,Bira Singh,1602,1.16,877,0.63,4956,3.57,138639,BSP,Sardeep Singh,1229,0.89,CPI,Naranjan Singh,896,0.65,IND,Parminder Singh,693,0.50,IND,Nirmal Singh,563,0.41,AITC,Baldev Ram,549,0.40,DSP,Kulwinder Singh,504,0.36,IND,Gurjant Singh,268,0.19,IND,Narinder,254,0.18,,,,,,,,,,,,,,,,,,,,