No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,
31,Roorkee,BJP,Pradeep Batra,40000,55.35,INC,Suresh Chand Jain,27458,38.00,12542,17.36,BSP,Ram Subhag Singh,3239,4.48,SP,Sunita Singh,918,1.27,UKD,Adesh Kumar Sharma,169,0.23,303,0.42,180,0.25,72267,PP,Sharad Pandey,72,0.10,IND,Yudhvijay Singh,65,0.09,IND,Narendra Singh,43,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Khanpur,BJP,Kunwar Parnav Singh Champion,53192,49.65,BSP,Mufti Riyasat Ali,39457,36.83,13735,12.82,INC,Choudhary Yashveer Singh,6894,6.43,IND,Ravinder Singh,4856,4.53,IND,Sunil,729,0.68,523,0.49,1483,1.38,107134,SSP,Pallavi Kukreti,373,0.35,IND,Virender Singh,338,0.32,UKD,Sanjay Singh,267,0.25,IND,Rishiram,134,0.13,IND,Mohd. Arshad,132,0.12,IND,Rajveer,115,0.11,IND,Pehal Singh,82,0.08,IND,Anil Kumar,42,0.04,,,,,,,,,,,,,,,,,,,,,,,,
33,Manglore,INC,Qazi Mohd Nizamuddin,31352,38.62,BSP,Sarwat Kareem Ansari,28684,35.33,2668,3.29,BJP,Rishipal Baliyan,16964,20.89,RLD,Letesh Kumar,3265,4.02,IND,Usha,333,0.41,278,0.34,315,0.39,81191,BMUP,Sunil Kumar,172,0.21,IND,Uberdur Rahaman,143,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Laksar,BJP,Sanjay Gupta,25248,32.34,INC,Haji Tasleem Ahmad,23644,30.29,1604,2.05,BSP,Subhash Singh Choudhary,19656,25.18,IND,Kushalpal Singh,6087,7.80,IND,Sumit,2415,3.09,287,0.37,733,0.94,78070,SP,Narendra,282,0.36,IND,Ratendra Tiwari,199,0.25,SHS,Mempal,96,0.12,IND,Julfukar Ansari,94,0.12,IND,Nidhi Singh,62,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hardwar Rural,BJP,Yatishwaranand,44964,45.78,INC,Harish Chandra Singh Rawat,32686,33.28,12278,12.50,BSP,Mukarram,18383,18.72,UKD,Subash Chand,514,0.52,IND,Renu Notiyal,339,0.35,645,0.66,682,0.69,98213,IND,Vasim Ahmad,334,0.34,IND,Mustafa,201,0.20,IND,Nagendra Singh,147,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Yamkeshwar,BJP,Ritu Khanduri Bhushan,19671,43.01,IND,Renu Bisht,10689,23.37,8982,19.64,INC,Shailendra Singh Rawat,10283,22.49,IND,Prashant Badoni,2698,5.90,UKD,Shanti Prasad Bhatt,542,1.19,988,2.16,860,1.88,45731,BSP,Jagpal Singh Negi,375,0.82,IND,Kirshan Chandra,250,0.55,IND,(Brig) Govind Prasad Barthwal,235,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pauri (SC),BJP,Mukesh Singh Koli,26469,54.41,INC,Naval Kishor,19439,39.96,7030,14.45,IND,Hari Kumar,593,1.22,BSP,Ramesh Chander,364,0.75,UKD,Vir Pratap Singh,323,0.66,693,1.42,770,1.58,48651,IND,Devaki Nandan Shah,282,0.58,UKD(D),Anil Kumar,184,0.38,IND,Vijay Singh,153,0.31,URM,Manohar Lal Pahari,151,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Srinagar,BJP,Dr. Dhan Singh Rawat,30816,51.24,INC,Ganesh Godiyal,22118,36.78,8698,14.46,IND,Mohan Prasad Kala,4854,8.07,IND,Naveen Prakash Nautiyal,608,1.01,BSP,Ganesh Prasad,532,0.88,697,1.16,516,0.86,60141,UKD,Dhirendra Singh Bisht,516,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chaubattakhal,BJP,Satpal Maharaj,20921,48.82,INC,Rajpal Singh Bisht,13567,31.66,7354,17.16,IND,Sunder Singh Chauhan,2545,5.94,IND,Kavinder Istwal,2339,5.46,IND,Satendra Singh,965,2.25,210,0.49,2303,5.37,42850,IND,Nandan Singh Rawat,433,1.01,IND,Ramendra Singh Bhandari,323,0.75,UKD(D),Anu Pant,316,0.74,IND,Manju Rawat,241,0.56,PMP,Poonam Kaintura,212,0.49,BSP,Bhartendu,211,0.49,UKD,Subodh Pokhriyal,196,0.46,RAP,Sushil Chandra,162,0.38,UPP,Prem Sundriyal,121,0.28,SP,Chndra Mohan Mundepi,88,0.21,,,,,,,,,,,,,,,,
40,Lansdowne,BJP,Daleep Singh Rawat,22246,55.93,INC,Lt. Gen(Retd) Tejpal Singh Rawat P.V.S.M V.S.M,15771,39.65,6475,16.28,UKD,Vikram Singh Rawat,450,1.13,IND,Ved Prakash Arya,434,1.09,IND,Jagmohan Singh Bisht,226,0.57,485,1.22,164,0.41,39776,IND,Manish Sundriyal,164,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Kotdwar,BJP,(Dr) Harak Singh Rawat,39859,56.07,INC,Surendra Singh Negi,28541,40.15,11318,15.92,BSP,Renu Agarwal,764,1.07,UPP,(Dr) Dinesh,355,0.50,IND,Sudhir Kumar Bahuguna,267,0.38,459,0.65,841,1.18,71086,IND,Sudha Patwal,266,0.37,UKD,Harish Chander Dwivedi,168,0.24,IND,Shammi Kapoor,138,0.19,IND,Shyam Lal,137,0.19,IND,Anoop Thapliyal,68,0.10,IND,Mahitab Singh Rawat,64,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Dharchula,INC,Harish Singh,25597,47.56,BJP,Virendra Singh Pal,22512,41.82,3085,5.73,IND,Durga Prashad,2717,5.05,UKD,Lal Singh,883,1.64,IND,Devindra Singh,631,1.17,500,0.93,985,1.83,53825,IND,Virendra Singh,540,1.00,BSP,Jitendra Kumar,445,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Didihat,BJP,Vishan Singh,17392,33.66,IND,Kishan Bhandari,15024,29.08,2368,4.58,INC,Pradeep Singh Pal,14470,28.00,UKD,Kashi Singh Airy,2896,5.60,BSP,Har Govind Pant,631,1.22,737,1.43,520,1.01,51670,IND,Bikrant Panday,520,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pithoragarh,BJP,Prakash Pant,32941,49.42,INC,Mayukh Mahar,30257,45.39,2684,4.03,IND,Lalit Mohan Bhatt,613,0.92,IND,Mahendra Singh,529,0.79,BSP,Raghuvar Ram,519,0.78,1072,1.61,727,1.09,66658,UKD,Sushma Mathur,304,0.46,IND,Manoj Kumar Joshi,126,0.19,IND,Krishnanand Kapri,111,0.17,SP,Ramesh Bisht,108,0.16,IND,Gulajar,78,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Gangolihat (SC),BJP,Meena Gangola,20418,37.34,INC,Narayan Ram Arya,19613,35.87,805,1.47,IND,Khajan Chandra,10763,19.69,BSD,Dinesh Kumar,958,1.75,IND,Sumitra Devi,841,1.54,865,1.58,1218,2.23,54676,BSP,Deepak Kumar,668,1.22,UKD,Harish Prasad,550,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Kapkote,BJP,Balwant Singh Bhouriyal,27213,45.53,INC,Lalit Farswan,21231,35.52,5982,10.01,BSP,Bhoopesh Upadhyay,6964,11.65,IND,Bhagwat Singh Dasila,1242,2.08,UKD,Ram Singh Aithani,951,1.59,1116,1.87,1057,1.77,59774,IND,Dayal Singh Kapkoti,641,1.07,IND,Govind Lal,220,0.37,IND,Karam Singh Danu,196,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bageshwar (SC),BJP,Chandan Ram Dass,33792,50.08,INC,Balkrishan,19225,28.49,14567,21.59,BSP,Basant Kumar,11038,16.36,UKD,Jeevan Lal,1207,1.79,IND,Bachi Lal,676,1.00,1541,2.28,0,0.00,67479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dwarahat,BJP,Mahesh Singh Negi,20221,43.21,INC,Madan Singh Bisht,13628,29.12,6593,14.09,UKD,Pushpesh Tripathi,6581,14.06,IND,Kuber Singh Kathayat,2126,4.54,IND,Bhupal Singh Alias Pappu Bhandari,1196,2.56,597,1.28,2451,5.24,46800,BSP,Girish Chaudhary,830,1.77,IND,Nandan Giri,776,1.66,BKLJP,Kundan Singh Rawat,503,1.07,IND,Jay Prakash Kandpal,342,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Salt,BJP,Surender Singh Jeena,21581,49.17,INC,Ganga Pancholi,18677,42.55,2904,6.62,IND,Bhuvan Joshi,669,1.52,BSP,Bhole Shankar,664,1.51,UKD(D),Ganga Devi,459,1.05,812,1.85,1033,2.35,43895,UPP,Narayan Singh,268,0.61,IND,Mahipal Singh,262,0.60,UKD,Rakesh Singh Bisht,187,0.43,IND,Bhagawat Singh,184,0.42,IND,Kuber Singh Manral,132,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ranikhet,INC,Karan Mahara,19035,46.42,BJP,Ajay Bhatt,14054,34.27,4981,12.15,IND,Pramod Nainwal,5701,13.90,BSP,Kripal Ram,1169,2.85,UKD,Pratap Singh Shahi,414,1.01,637,1.55,0,0.00,41010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Someshwar (SC),BJP,Rekha Arya,21780,47.47,INC,Rajendra Barakoti,21070,45.92,710,1.55,IND,Pradeep Kumar Arya,841,1.83,BSP,Himanshu Kohli,622,1.36,IND,Puran Chandra,263,0.57,1089,2.37,218,0.48,45883,IND,Chandra Prakash Arya,218,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Almora,BJP,Raghunath Singh Chauhan,26464,50.93,INC,Manoj Tewari,21085,40.57,5379,10.35,BSP,Dr.Sanjay Tamta,1654,3.18,IND,Virendra Kumar,517,0.99,IND,Mohd Habib,514,0.99,623,1.20,1109,2.13,51966,CPIM,Dinesh Pande,425,0.82,IND,Bhuwan Chandra Joshi,219,0.42,UPP,Rekha Dhasmana,157,0.30,UKD,Kundan Singh Bisht,130,0.25,IND,Prakash Chandra Bhatt,106,0.20,SP,Jaswant Singh,72,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Jageshwar,INC,Govind Singh Kunjwal,24132,47.41,BJP,Subhash Pandey,23733,46.63,399,0.78,BSP,Taradatt Pandey,1345,2.64,UKD,Mahendra Singh Rawat,793,1.56,,,,,896,1.76,0,0.00,50899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Lohaghat,BJP,Puran Singh Fartyal,26468,46.85,INC,Khushal Singh,26320,46.59,148,0.26,IND,Jyoti Prakash Tamta,710,1.26,IND,Prakash Singh,709,1.25,BSP,Devilal Sharma Alias Raju,689,1.22,1238,2.19,363,0.64,56497,IND,Rajendra Singh,363,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Champawat,BJP,Kailash Chandra Gahtori,36601,62.30,INC,Hemesh Kharkwal,19241,32.75,17360,29.55,UKD,Trilok Chand Sorari,939,1.60,BSP,Dinesh Chandra,928,1.58,,,,,1044,1.78,0,0.00,58753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Lalkuwa,BJP,Naveen Chandra Dumka,44293,54.81,INC,Harish Chandra Durgapal,17185,21.27,27108,33.54,IND,Harendra Singh Bora,14709,18.20,BSP,Rajeev Mohan,964,1.19,CPI(ML)(L),Purushottam Sharma,793,0.98,1216,1.50,1652,2.04,80812,IND,Virendra Puri Maharaj,592,0.73,SHS,Chandan Singh Rana,407,0.50,IND,Vijay Joshi,238,0.29,UKD,Deepa Bhatt,224,0.28,IND,Rajender Singh Bisht,191,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bhimtal,IND,Ram Singh Kaira,18878,30.83,BJP,Govind Singh Bisht,15432,25.20,3446,5.63,INC,Dan Singh Bhandari,14702,24.01,BSP,Tara Datt Pandey,8444,13.79,IND,Govind Singh Bisht,703,1.15,963,1.57,2108,3.44,61230,IND,Suhail Ahmad,614,1.00,LSP(S),Kamal Pathak,460,0.75,IND,Krishnanand Kandpal,402,0.66,IND,Aan Singh,357,0.58,UKD,Naveen Chandra,275,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Nainital (SC),BJP,Sanjeev Arya,30036,49.03,INC,Sarita Arya,22789,37.20,7247,11.83,IND,Hem Chandra Arya,5505,8.99,IND,K.L Arya,1035,1.69,BSP,Sunder Lal Arya,997,1.63,899,1.47,0,0.00,61261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Haldwani,INC,Indira Hridayesh,43786,46.49,BJP,Jogendra Pal Singh Rautela,37229,39.53,6557,6.96,SP,Shoeb Ahmed,10337,10.98,BSP,Shakeel Ahmad,1324,1.41,UKD,Bhuwan Chandra Joshi,268,0.28,655,0.70,583,0.62,94182,SHS,Lalit Mohan Joshi,226,0.24,IND,Vinod Kumar Sharma,201,0.21,IND,Tofik Ahmad,156,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Kaladhungi,BJP,Bansidhar Bhagat,45704,44.90,INC,Prakash Joshi,25107,24.66,20597,20.23,IND,Mahesh Chandra,20214,19.86,IND,Harendra Singh Darmwal,4294,4.22,BSP,Varun Pratap Singh Bhakuni,2384,2.34,1119,1.10,2978,2.93,101800,IND,Mahendra Kumar Chaudhary,1097,1.08,UKD,Dr. Suresh Dalakoti,889,0.87,UPP,Surendra Singh Nigaltiya,625,0.61,IND,Suman Lata,367,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Ramnagar,BJP,Diwan Singh Bisht,35839,46.31,INC,Ranjeet Rawat,27228,35.18,8611,11.13,BSP,Rajeev Agarwal,10766,13.91,UPP,Prabhat Dhyani,1229,1.59,IND,Dhaneshwari Ghildiyal,397,0.51,887,1.15,1051,1.36,77397,IND,Vijay,364,0.47,IND,Vichitra Singh,318,0.41,PECP,Akeel,216,0.28,IND,Tanjeem,153,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Jaspur,INC,Adesh Singh Chauhan,42551,46.35,BJP,Dr. Shailendra Mohan Singhal,38347,41.77,4204,4.58,BSP,Mohammad Umar,8666,9.44,IND,Km. Seema Chauhan,578,0.63,PECP,Jameel Ahmad Mansoori,337,0.37,644,0.70,675,0.74,91798,IND,Sanjay Dutt,196,0.21,IND,Lalman Singh,144,0.16,UKD(D),Mohammad Ajmal Siddiqi,138,0.15,IND,Rakesh Kumar,100,0.11,SHS,Mahender Singh,97,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Kashipur,BJP,Harbhajan Singh Cheema,50156,47.80,INC,Manoj Joshi,30042,28.63,20114,19.17,BSP,Mohd Ashraf Siddiqui,15426,14.70,IND,Rajeev Kumar Agarwal,7106,6.77,IND,Shiv Singh Rawat,416,0.40,655,0.62,1117,1.06,104918,RLD,Mohd. Anas,301,0.29,PECP,Jakir,214,0.20,UKD,Shiv Kumar Singh,208,0.20,IND,Gohar Ali,198,0.19,UKD(D),Surendra Chaudhary,101,0.10,IND,Ashok Kumar,95,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bajpur (SC),BJP,Yashpal Arya,54965,52.75,INC,Suneeta Tamta,42329,40.63,12636,12.13,BSP,Ramavatar,4511,4.33,SP,Manisha,651,0.62,SHS,Gautam Kumar,488,0.47,908,0.87,340,0.33,104192,IND,Madan Singh,340,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Gadarpur,BJP,Arvind Pandey,41530,42.35,INC,Rajendra Pal Singh,27424,27.97,14106,14.39,BSP,Jarnail Singh (Kali),26115,26.63,IND,Shankar Singh Nagarkoti,835,0.85,SP,Shaheroom,807,0.82,758,0.77,591,0.60,98060,IND,Paramjeet Kaur,308,0.31,IND,Anand Vishwas,174,0.18,IND,Kamlesh,109,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Rudrapur,BJP,Rajkumar Thukral,68754,58.89,INC,Tilak Raj Behar,43983,37.67,24771,21.22,BSP,Jaswant Singh,1471,1.26,UKD,B.D.Kandpal,427,0.37,IND,Sanjay Sahni,420,0.36,596,0.51,1102,0.94,116753,IND,Himan Singh Negi,332,0.28,IND,Surendra Upadhyay,249,0.21,SP,Vinod Kumar,188,0.16,IND,Kailash Chandra,132,0.11,RLD,Surendra Singhal,107,0.09,IND,Manpreet Singh,94,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Kichha,BJP,Rajesh Shukla,40363,45.77,INC,Harish Rawat,38236,43.36,2127,2.41,BSP,Rajesh Pratap Singh,7754,8.79,SP,Sanjay Singh,459,0.52,IND,Mohd. Jalees,405,0.46,558,0.63,403,0.46,88178,IND,Sanjay Grover,254,0.29,IND,Anil Kumar Sharma,149,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sitarganj,BJP,Saurabh Bahuguna,50597,57.85,INC,Malti Biswas,22147,25.32,28450,32.53,BSP,Navtej Pal Singh,11892,13.60,SP,Yogendra Kumar Yadav,811,0.93,IND,Binda Biswas,437,0.50,580,0.66,996,1.14,87460,IND,Mobeen Ali,400,0.46,IND,Abdul Vaheed,178,0.20,IND,Akhtayar Ahamad,155,0.18,UKD,Hem Chandra,136,0.16,BSS,Raghuvir,127,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Nanak Matta (ST),BJP,Dr. Prem Singh,42785,51.65,INC,Gopal Singh Rana,33254,40.14,9531,11.51,BSP,Shish Ram Rana,3174,3.83,IND,Suneeta Rana,1305,1.58,IND,Rita Wati,899,1.09,808,0.98,614,0.74,82839,IND,Mahesh Chandra,386,0.47,SP,Ansuiya,228,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Khatima,BJP,Pushkar Singh Dhami,29539,36.51,INC,Bhuwan Chandra Kapri,26830,33.16,2709,3.35,BSP,Ramesh Singh Rana,17804,22.01,IND,Dr. Lalit Singh,4516,5.58,IND,Ramesh Chandra Rana,452,0.56,890,1.10,876,1.08,80907,UKD,Abdul Fareed Siddiqui,269,0.33,IND,Ramesh Kumar Max,215,0.27,BSS,Bhuwal Singh Kushwaha,156,0.19,SHS,Anil Kumar Rastogi,121,0.15,SP,Vinod Bhatt,115,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,